country,country_code,sub_region,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,work_count_total
United States,USA,Northern America,1278.0,1319.0,1342.0,1428.0,1601.0,1743.0,1723.0,1765.0,1461.0,879.0,14539.0
China,CHN,Eastern Asia,121.0,130.0,159.0,199.0,249.0,231.0,265.0,216.0,162.0,103.0,1835.0
United Kingdom,GBR,Northern Europe,127.0,122.0,123.0,127.0,182.0,171.0,204.0,246.0,151.0,98.0,1551.0
Germany,DEU,Western Europe,87.0,111.0,98.0,99.0,108.0,132.0,131.0,135.0,102.0,64.0,1067.0
Canada,CAN,Northern America,61.0,62.0,77.0,112.0,119.0,113.0,100.0,123.0,107.0,60.0,934.0
Australia,AUS,Australia and New Zealand,46.0,75.0,63.0,72.0,83.0,79.0,91.0,94.0,60.0,50.0,713.0
France,FRA,Western Europe,54.0,54.0,50.0,53.0,68.0,79.0,72.0,77.0,43.0,34.0,584.0
Italy,ITA,Southern Europe,58.0,61.0,51.0,55.0,68.0,66.0,65.0,75.0,56.0,22.0,577.0
Spain,ESP,Southern Europe,37.0,42.0,36.0,32.0,62.0,71.0,68.0,72.0,42.0,34.0,496.0
The Netherlands,NLD,Western Europe,35.0,48.0,36.0,49.0,48.0,55.0,48.0,65.0,42.0,40.0,466.0
Japan,JPN,Eastern Asia,50.0,36.0,31.0,39.0,45.0,40.0,36.0,65.0,31.0,22.0,395.0
Switzerland,CHE,Western Europe,19.0,32.0,16.0,24.0,42.0,40.0,47.0,68.0,46.0,30.0,364.0
Russia,RUS,Eastern Europe,37.0,37.0,34.0,27.0,34.0,37.0,40.0,49.0,26.0,26.0,347.0
Brazil,BRA,Latin America and the Caribbean,25.0,28.0,20.0,26.0,45.0,46.0,38.0,47.0,28.0,23.0,326.0
South Korea,KOR,Eastern Asia,20.0,31.0,30.0,23.0,34.0,24.0,41.0,41.0,37.0,31.0,312.0
India,IND,Southern Asia,19.0,19.0,21.0,26.0,32.0,18.0,34.0,58.0,47.0,36.0,310.0
Israel,ISR,Western Asia,19.0,16.0,16.0,19.0,38.0,46.0,29.0,39.0,39.0,18.0,279.0
Sweden,SWE,Northern Europe,27.0,37.0,19.0,23.0,34.0,33.0,29.0,33.0,18.0,14.0,267.0
Chile,CHL,Latin America and the Caribbean,15.0,11.0,10.0,14.0,45.0,38.0,39.0,30.0,17.0,5.0,224.0
Belgium,BEL,Western Europe,12.0,15.0,14.0,14.0,26.0,27.0,27.0,38.0,21.0,22.0,216.0
